actv,enddate,frequency,id,key,latres,longres,name,startdate,state,sttid
In-Active,2019-02-20,Hourly,15F016,ISRO0022,11.40,92.64,"ISTRAC, Dolly gunj, port blair",2007-11-26,ANDAMAN & NICOBAR,31
In-Active,2020-07-01,Hourly,15F114,ISRO0276,11.40,92.60,"INS Utkroash,Port Blair",2008-04-22,ANDAMAN & NICOBAR,31
In-Active,2017-11-11,Hourly,15F115,ISRO0277,8.00,93.50,"INS Kardip,Kamorta Island,PB",2009-01-01,ANDAMAN & NICOBAR,31
In-Active,2016-03-08,Hourly,15F22B,ISRO0555,11.63,92.74,Pondicherry University-Port Blair (NON-ISRO),2011-02-16,ANDAMAN & NICOBAR,31
In-Active,NA,Hourly,15F505,ISRO1285,9.18,92.82,Car Nicobar,NA,ANDAMAN & NICOBAR,31
In-Active,2016-02-26,Hourly,15F506,ISRO1286,7.01,93.94,Campbellbay,2010-11-28,ANDAMAN & NICOBAR,31
In-Active,2016-02-26,Hourly,15F507,ISRO1287,8.30,93.13,Teressa,2010-12-23,ANDAMAN & NICOBAR,31
In-Active,NA,Hourly,15F508,ISRO1288,8.00,93.38,Katchal,NA,ANDAMAN & NICOBAR,31
In-Active,2019-05-28,Hourly,15F509,ISRO1289,10.60,92.54,Hutbay,2015-11-04,ANDAMAN & NICOBAR,31
In-Active,2019-03-14,Hourly,15F50A,ISRO1290,12.04,92.98,Havelock,2015-11-04,ANDAMAN & NICOBAR,31
In-Active,2020-07-17,Hourly,15F50B,ISRO1291,11.84,93.02,Neil,2015-12-16,ANDAMAN & NICOBAR,31
In-Active,2022-06-18,Hourly,15F50C,ISRO1292,12.51,92.30,Rangat,2011-01-05,ANDAMAN & NICOBAR,31
In-Active,2020-09-13,Hourly,15F50D,ISRO1293,12.91,92.90,Mayabunder,2016-01-05,ANDAMAN & NICOBAR,31
In-Active,2017-09-02,Hourly,15F50E,ISRO1294,13.26,93.00,Diglipur,2015-10-13,ANDAMAN & NICOBAR,31
In-Active,2019-01-02,Hourly,15F001,ISRO0001,13.46,79.18,Gadanki (NARL),2006-01-07,ANDHRA PRADESH,4
In-Active,2019-01-31,Hourly,15F002,ISRO0002,13.69,80.23,"METSITE, SHAR",2006-01-07,ANDHRA PRADESH,4
In-Active,2018-06-13,Hourly,15F003,ISRO0003,13.77,80.24,"LPSF, SHAR",2006-07-07,ANDHRA PRADESH,4
In-Active,2018-05-10,Hourly,15F004,ISRO0004,13.70,80.05,PULICAT NAGAR SHAR-OLD,2006-07-07,ANDHRA PRADESH,4
In-Active,2017-07-01,Hourly,15F005,ISRO0005,17.02,78.18,NRSA  Shadnagar,2006-01-07,ANDHRA PRADESH,4
In-Active,2017-09-03,Hourly,15F006,ISRO0006,17.47,78.58,TIFR  Balloon facility Hyderabad,2006-01-07,ANDHRA PRADESH,4
In-Active,2019-01-02,Hourly,15F007,ISRO0007,14.62,77.65,SKDR University  Anantapur,2006-01-07,ANDHRA PRADESH,4
In-Active,2020-03-06,Hourly,15F008,ISRO0008,17.72,83.23,A.U -Visakhapatnam,2006-02-07,ANDHRA PRADESH,4
In-Active,2020-01-15,Hourly,15F011,ISRO0017,17.47,78.44,NRSA Hyderabad,2006-02-07,ANDHRA PRADESH,4
In-Active,2017-09-24,Hourly,15F078,ISRO0120,13.62,79.53,SVUC Tirupati AP,2006-11-07,ANDHRA PRADESH,4
In-Active,2018-03-31,Hourly,15F079,ISRO0121,13.48,79.57,SPGS Puttur Chittor AP,2006-11-07,ANDHRA PRADESH,4
In-Active,2018-09-17,Hourly,15F0DC,ISRO0220,17.63,78.40,"AF ACADAMY,DUNDIGUL,HYDERABAD",2007-11-26,ANDHRA PRADESH,4
In-Active,2019-01-02,Hourly,15F0DD,ISRO0221,17.50,78.50,"AF Stn. HAKIMPET, SECUNDERABAD",2007-11-26,ANDHRA PRADESH,4
In-Active,2014-06-13,Hourly,15F0F7,ISRO0247,17.72,83.23,"NIO,RC,Visakhapatnam",2007-11-26,ANDHRA PRADESH,4
In-Active,2018-09-08,Hourly,15F110,ISRO0272,17.72,83.23,"INS Dega,Visakhapatnam",2007-11-26,ANDHRA PRADESH,4
In-Active,2017-12-06,Hourly,15F184,ISRO0388,14.60,77.46,"OoT,Sanapa village,Atmakur mandal,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2017-11-15,Hourly,15F185,ISRO0389,14.99,77.36,"OoT,Ragulapadu,Vajrakarur mandal,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2020-01-31,Hourly,15F186,ISRO0390,14.84,77.53,"OoT,Yerraguntla,Garladinne Mandal,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2020-01-29,Hourly,15F187,ISRO0391,14.81,77.35,"OoT,Jallipalli,Kudair mandal,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2020-06-16,Hourly,15F188,ISRO0392,14.74,77.73,"OoT,BK Samudram Mandal,Bodiganidoddi,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2020-02-01,Hourly,15F189,ISRO0393,14.95,77.49,"OoT,Yeddulapalli,Pamidi Mandal,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2020-01-30,Hourly,15F18A,ISRO0394,14.93,77.86,"OoT,Peddayekkalur, Peddapappur Mandal,ATP",2008-09-26,ANDHRA PRADESH,4
In-Active,2020-01-29,Hourly,15F18B,ISRO0395,14.65,77.79,"OoT,B.Pappur,Narpala Mandal,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2018-11-12,Hourly,15F18C,ISRO0396,15.12,77.24,"OoT,Gadekal,Vidapanakal Mandal,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2018-11-06,Hourly,15F18D,ISRO0397,14.62,77.61,"OoT,Rapthadu Mandal, ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2017-12-01,Hourly,15F18E,ISRO0398,14.70,78.07,"OoT,Yellanur Mandal,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2018-11-15,Hourly,15F18F,ISRO0399,15.01,76.83,"OoT,Dodagatta, D.Hirehal Mandal,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2017-11-28,Hourly,15F190,ISRO0400,14.82,77.16,"OoT,Sollapuram,Kanekal Mandal,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2017-11-26,Hourly,15F191,ISRO0401,14.36,77.44,"OoT,Nasanakota, Ramagiri Mandal,ATP",2008-09-24,ANDHRA PRADESH,4
In-Active,2017-11-18,Hourly,15F192,ISRO0402,14.31,77.75,"OoT,Kanumukkala, CK Palli Mandal,ATP",2008-09-24,ANDHRA PRADESH,4
