actv,enddate,frequency,id,key,latres,longres,name,startdate,state,sttid
Active,2023-09-28,15 minutes,15F670,ISRO1648,11.64,92.71,ISTRC-Portblair,2021-02-05,ANDAMAN & NICOBAR,31
Active,2025-07-05,15 minutes,15F65E,ISRO1630,13.46,79.17,NARL-Gadanki,2020-07-27,ANDHRA PRADESH,4
Active,2024-11-25,15 minutes,15F661,ISRO1633,13.78,80.25,SHAR-2(LPSC),2020-07-27,ANDHRA PRADESH,4
Active,2025-07-05,15 minutes,15F662,ISRO1634,13.70,80.23,SHAR-1(FM Building),2020-07-27,ANDHRA PRADESH,4
Active,2024-06-14,15 minutes,15F664,ISRO1636,13.73,80.17,SHAR-4(Phase-2),2020-07-27,ANDHRA PRADESH,4
Active,2025-07-05,15 minutes,15F665,ISRO1637,13.70,80.03,SHAR-3(KRP Colony),2020-07-27,ANDHRA PRADESH,4
Active,2025-07-05,15 minutes,15F66A,ISRO1642,28.61,77.18,Delhi Earth Station,2020-09-04,DELHI,21
Active,2025-07-05,15 minutes,15F657,ISRO1623,23.04,72.45,SAC-BopalCampus-Ahmedabad,2020-07-27,GUJARAT,17
Active,2025-03-25,15 minutes,15F658,ISRO1624,23.02,72.51,SAC-Main Campus,2020-07-27,GUJARAT,17
Active,2025-03-29,15 minutes,15F65C,ISRO1628,23.04,72.49,PRL-Ahmedabad,2020-07-27,GUJARAT,17
Active,2025-03-18,15 minutes,15F660,ISRO1632,23.69,68.53,BSF-Koteswar-Bhuj,2020-07-27,GUJARAT,17
Active,2025-03-09,15 minutes,15F655,ISRO1621,23.30,85.29,JSAC-Ranchi,2020-07-27,JHARKHAND,26
Active,2025-07-05,15 minutes,15F666,ISRO1638,12.97,77.65,LPSC-Bengaluru,2020-08-01,KARNATAKA,9
Active,2025-03-18,15 minutes,15F667,ISRO1639,13.07,76.10,MCF-Hasan,2020-08-01,KARNATAKA,9
Active,2025-07-05,15 minutes,15F669,ISRO1641,13.02,77.58,AIR FORCE HQTC-Bengaluru,2020-10-21,KARNATAKA,9
Active,2025-07-05,15 minutes,15F663,ISRO1635,8.54,76.87,VSSC-Trivendram,2020-07-30,KERALA,12
Active,2025-07-05,15 minutes,15F66B,ISRO1643,23.29,77.47,MCF-Bophal,2020-09-24,MADHYA PRADESH,23
Active,2025-07-05,15 minutes,15F668,ISRO1640,18.72,73.37,INS-Shivaji-Lonavala,2020-07-27,MAHARASTRA,8
Active,2025-02-25,15 minutes,15F66F,ISRO1647,21.15,79.03,RRRSC-Nagpur,2020-07-01,MAHARASTRA,8
Active,2025-07-05,15 minutes,15F66E,ISRO1646,25.67,91.91,NESAC-Shillong,2020-08-29,MEGHALAY,13
Active,2025-07-05,15 minutes,15F65F,ISRO1631,21.43,87.01,ITR-Balasore,2020-07-27,ORISSA,28
Active,2025-07-05,15 minutes,15F65A,ISRO1626,24.65,72.78,PRL-Mount Abu,2020-07-27,RAJASTHAN,6
Active,2025-07-05,15 minutes,15F65D,ISRO1629,26.21,73.02,RRRSC-Jodhpur,2020-07-27,RAJASTHAN,6
Active,2025-04-04,15 minutes,15F66D,ISRO1645,27.29,88.59,Gangtok-Sikkim Soil and Agri,2020-10-27,SIKKIM,33
Active,2025-07-05,15 minutes,15F66C,ISRO1644,12.91,80.12,"Airforce Station, Tambaram",2020-09-16,TAMILNADU,16
Active,2025-05-27,15 minutes,15F656,ISRO1622,17.52,78.45,NRSC-Jeedimetla(Hyd),2020-07-27,TELANGANA,39
Active,2025-07-05,15 minutes,15F65B,ISRO1627,17.04,78.19,NRSC-Shadnagar,2020-07-27,TELANGANA,39
Active,2025-07-05,15 minutes,15F659,ISRO1625,30.34,78.04,IIRS-Deharadun,2020-07-28,UTTRAKHAND,38
