actv,enddate,frequency,id,key,latres,longres,name,startdate,state,sttid
In-Active,2016-05-09,Hourly,1415E0,IDME1504,18.83,78.93,JAGTIYAL_AGRO,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-12-04,Hourly,16914C,IMDB0332,17.45,78.47,MET_HYDERABAD,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-12-16,Hourly,1415CC,IMDE1484,18.01,79.60,WARANGAL,2011-08-09,ANDHRA PRADESH,4
In-Active,2019-01-02,Hourly,1415CD,IMDE1485,17.24,81.10,ASWARAOPET,2011-08-09,ANDHRA PRADESH,4
In-Active,2019-01-01,Hourly,1415CE,IMDE1486,16.85,79.47,KAMPASAGAR,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-12-16,Hourly,1415CF,IMDE1487,17.62,74.07,SANGAREDDY_AGRO,2011-08-09,ANDHRA PRADESH,4
In-Active,2019-01-02,Hourly,1415D0,IMDE1488,17.21,77.58,TANDUR,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-03-07,Hourly,1415D1,IMDE1489,16.63,81.74,MARUTERU,2011-08-09,ANDHRA PRADESH,4
In-Active,2018-11-11,Hourly,1415D2,IMDE1490,13.61,79.34,PERUMALLAPALLE,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-12-16,Hourly,1415D3,IMDE1491,15.45,78.46,NANDYAL,2011-08-09,ANDHRA PRADESH,4
In-Active,2018-12-27,Hourly,1415D4,IMDE1492,18.43,79.08,KARIMNAGAR,2011-08-09,ANDHRA PRADESH,4
In-Active,2019-01-02,Hourly,1415D5,IMDE1493,16.50,78.23,PALEM,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-04-30,Hourly,1415D6,IMDE1494,16.36,80.84,VUYYURU,2011-08-09,ANDHRA PRADESH,4
In-Active,2019-01-01,Hourly,1415D7,IMDE1495,14.43,78.80,UTUKURU,2011-08-09,ANDHRA PRADESH,4
In-Active,2019-01-02,Hourly,1415D8,IMDE1496,19.65,78.52,ADILABAD,2011-08-09,ANDHRA PRADESH,4
In-Active,2018-07-30,Hourly,1415DA,IMDE1498,18.56,77.88,RUDRUR,2011-08-09,ANDHRA PRADESH,4
In-Active,2018-12-31,Hourly,1415DB,IMDE1499,14.11,78.15,KADIRI,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-04-30,Hourly,1415DC,IMDE1500,17.70,83.01,ANKAPALLI_AGRO,2011-08-09,ANDHRA PRADESH,4
In-Active,2019-01-02,Hourly,1415DD,IMDE1501,14.68,77.67,ANANTPUR_AGRO,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-11-22,Hourly,1415DE,IMDE1502,17.87,82.34,CHINTAPALLI_AGRO,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-03-08,Hourly,1415DF,IMDE1503,17.01,78.97,RAJENDRANAGR_AGRO,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-10-22,Hourly,1415E1,IMDE1505,16.35,80.43,LAM_AGRO,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-12-16,Hourly,14167F,IMDE1663,13.63,79.73,TIRUPATI_AGRO,2011-08-09,ANDHRA PRADESH,4
In-Active,2016-04-16,Hourly,141445,IMDE1093,26.12,91.82,KHANAPARA,2011-11-25,ASSAM,11
In-Active,NA,Hourly,14155F,IMDE1375,26.75,84.68,MADHOPUR,NA,BIHAR,25
In-Active,2014-12-11,Hourly,141560,IMDE1376,24.85,86.90,BANKA,2012-08-08,BIHAR,25
In-Active,2016-05-09,Hourly,141561,IMDE1377,26.38,85.73,DARBHANGA,2011-08-09,BIHAR,25
In-Active,2016-12-16,Hourly,141562,IMDE1378,25.73,85.23,VAISALI,2011-08-09,BIHAR,25
In-Active,2016-03-24,Hourly,141563,IMDE1379,26.03,85.14,MUZZAFFARPUR,2011-08-09,BIHAR,25
In-Active,2018-10-31,Hourly,141564,IMDE1380,25.37,86.48,MUNGER,2011-08-09,BIHAR,25
In-Active,2011-08-09,Hourly,141565,IMDE1381,25.65,86.02,BEGUSARAI,2011-08-09,BIHAR,25
In-Active,2016-02-15,Hourly,141566,IMDE1382,24.80,85.04,MALPUR,2011-08-09,BIHAR,25
In-Active,2014-08-28,Hourly,141567,IMDE1383,25.52,87.57,KATIHAR,2011-08-09,BIHAR,25
In-Active,2013-07-12,Hourly,141568,IMDE1384,25.92,86.80,MADHEPURA,2011-08-09,BIHAR,25
In-Active,2016-03-24,Hourly,141569,IMDE1385,25.01,84.01,BHOJPUR_AGRO,2011-11-25,BIHAR,25
In-Active,2014-02-18,Hourly,14156A,IMDE1386,24.87,85.53,NAWADA,2011-08-09,BIHAR,25
In-Active,2016-02-15,Hourly,14156B,IMDE1387,23.55,83.96,BUXAR,2011-08-09,BIHAR,25
In-Active,2019-01-02,Hourly,14156C,IMDE1388,26.21,84.35,SIWAN,2011-08-09,BIHAR,25
In-Active,2015-05-23,Hourly,14156D,IMDE1389,25.22,85.13,GANDHAR,2011-08-09,BIHAR,25
In-Active,2016-02-28,Hourly,14156E,IMDE1390,25.03,85.60,BHABUA,2011-08-09,BIHAR,25
In-Active,2016-01-25,Hourly,14156F,IMDE1391,25.01,86.01,PATNA,2011-08-09,BIHAR,25
In-Active,2013-06-20,Hourly,141570,IMDE1392,26.01,85.01,CHANPURABASATH,2011-08-09,BIHAR,25
In-Active,2016-02-17,Hourly,141571,IMDE1393,25.35,85.63,HARNAUT,2013-06-14,BIHAR,25
In-Active,2016-02-28,Hourly,141572,IMDE1394,24.95,84.01,SASARAM,2011-08-09,BIHAR,25
In-Active,2013-09-28,Hourly,141573,IMDE1395,25.07,85.85,ARIARI,2012-08-06,BIHAR,25
In-Active,2014-05-18,Hourly,141574,IMDE1396,26.51,85.28,SHEOHAR,2011-08-09,BIHAR,25
In-Active,2016-12-16,Hourly,141575,IMDE1397,26.54,85.72,PUPARI,2011-08-09,BIHAR,25
In-Active,2015-09-08,Hourly,141577,IMDE1399,24.02,86.01,JAMUI_AGRO,2011-12-04,BIHAR,25
In-Active,2015-10-06,Hourly,141578,IMDE1400,25.91,86.55,AGWANPUR_AGRO,2011-11-25,BIHAR,25
In-Active,2013-12-28,Hourly,141579,IMDE1401,25.98,85.66,PUSA_BH_AGRO,2011-08-09,BIHAR,25
In-Active,2015-03-17,Hourly,14157A,IMDE1402,25.23,87.03,BHAGALPUR_AGRO,2011-08-09,BIHAR,25
In-Active,2014-12-30,Hourly,14151A,IMDE1306,23.09,83.14,AMBIKAPUR_AGRO,2011-08-09,CHHATTISGARH,27
In-Active,2019-02-06,Hourly,14151B,IMDE1307,22.09,82.17,BILASPUR,2011-08-09,CHHATTISGARH,27
In-Active,2018-11-13,Hourly,14151C,IMDE1308,18.80,80.80,BIJAPUR,2011-08-09,CHHATTISGARH,27
In-Active,2014-01-31,Hourly,14151D,IMDE1309,18.90,81.35,DANTEWARA,2011-08-09,CHHATTISGARH,27
In-Active,2019-03-12,Hourly,14151E,IMDE1310,20.66,81.53,DHAMTARI,2011-08-09,CHHATTISGARH,27
In-Active,2012-11-24,Hourly,14151F,IMDE1311,21.97,81.24,DURG,2011-08-09,CHHATTISGARH,27
In-Active,2013-06-19,Hourly,141520,IMDE1312,19.09,81.96,JAGDALPUR_AGRO,2011-08-09,CHHATTISGARH,27
In-Active,2019-01-01,Hourly,141521,IMDE1313,22.60,82.13,JANJGIR,2011-11-25,CHHATTISGARH,27
In-Active,2019-01-02,Hourly,141522,IMDE1314,22.88,84.56,JASPUR,2011-08-09,CHHATTISGARH,27
In-Active,2018-07-21,Hourly,141523,IMDE1315,20.25,81.50,KANKER,2011-08-09,CHHATTISGARH,27
In-Active,2016-09-10,Hourly,141524,IMDE1316,22.37,82.73,KORBA,2011-08-09,CHHATTISGARH,27
In-Active,2016-05-09,Hourly,141525,IMDE1317,22.58,81.13,KAWARDHA,2011-08-09,CHHATTISGARH,27
In-Active,2016-03-09,Hourly,141526,IMDE1318,23.30,82.56,KORIYA,2011-08-09,CHHATTISGARH,27
In-Active,2014-07-24,Hourly,141527,IMDE1319,21.10,82.08,MAHASAMUND,2011-08-09,CHHATTISGARH,27
In-Active,2019-01-01,Hourly,141528,IMDE1320,19.70,81.70,NARAYANPUR,2011-08-09,CHHATTISGARH,27
