actv,crnt_flg,description,enddate,frequency,id,longres,name,prefix,processlevel,satinorbit,startdate,suffix,techdoc
Active,0,EOS-06 Scatterometer L1B Product contains time-ordered Earth-located sigma0s,2025-07-02,29-30 Orbit/Day,339,0.25 - 0.25,E06SCT_L1B_SIG,E06SCTL,L1B,C,2024-06-01,.jpg,
Active,0,EOS-06 Scatterometer L2A Product contains flagged sigma0s in swath grid,2025-07-02,29-30 Orbit/Day,340, - ,E06SCT_L2A_SIG12,E06SCTL,L2A,C,2024-06-01,.jpg,
Active,0,EOS-06 Scatterometer L2A Product contains flagged sigma0s in swath grid,2025-07-02,29-30 Orbit/Day,341, - ,E06SCT_L2A_SIG25,E06SCTL,L2A,C,2024-06-01,.jpg,
Active,0,EOS-06 Scatterometer L2B Product contains flagged wind vectors in swath grid,2025-07-02,29-30 Orbit/Day,342, - ,E06SCT_L2B_WV12,E06SCTL,L2B,C,2024-06-01,.jpg,
Active,0,EOS-06 Scatterometer L2B Product contains flagged wind vectors in swath grid,2025-07-02,29-30 Orbit/Day,343, - ,E06SCT_L2B_WV25,E06SCTL,L2B,C,2024-06-01,.jpg,
Active,0,EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid,2025-06-03,DAILY,346, - ,E06SCT_L3_SIG12_HH,E06SCTL,L3,C,2024-06-01,.jpg,
Active,0,EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid,2025-06-03,DAILY,348, - ,E06SCT_L3_SIG12_VV,E06SCTL,L3,C,2024-06-01,.jpg,
Active,0,EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid,2025-07-02,DAILY,347, - ,E06SCT_L3_SIG25_HH,E06SCTL,L3,C,2024-06-01,.jpg,
Active,0,EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid,2025-07-02,DAILY,349, - ,E06SCT_L3_SIG25_VV,E06SCTL,L3,C,2024-06-01,.jpg,
Active,0,EOS-06 Scatterometer L3 Product contains flagged wind vectors in global grid,2025-06-03,DAILY,344, - ,E06SCT_L3_WW12,E06SCTL,L3,C,2024-06-01,.jpg,
Active,0,EOS-06 Scatterometer L3 Product contains flagged wind vectors in global grid,2025-07-02,DAILY,345, - ,E06SCT_L3_WW25,E06SCTL,L3,C,2024-06-01,.jpg,
Active,0,Analyzed Winds are computed using optimal interpolation. The wind derived products and fluxes are computed based on COREv3.0 bulk algorithms.,2025-07-01,DAILY,350, - ,E06SCT_L4_AWV,E06SCTL,L4,C,2023-02-09,.jpg,
Active,0,Analyzed Winds are computed using Particle Filter Technique,2025-07-02,6 HOURLY,364, - ,E06SCT_L4_AWV6HOURLY,E06SCTL,L4,C,2023-02-09,.gif,
Active,0,EOS-06 Scatterometer high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm,2025-06-30,DAILY,355,0.02 - 0.02,E06SCT_L4_BT_GLB,E06SCTL,L4,C,2023-02-09,.jpg,
Active,0,"EOS-06 Scatterometer high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm for HHASC, HHDES, HHBTH, VVASC, VVDES, VVBTH",2025-06-30,DAILY,353,0.02 - 0.02,E06SCT_L4_BT_IND,E06SCTL,L4,C,2023-02-09,.jpg,
Active,0,EOS-06 Scatterometer high resolution land product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm,2025-06-30,DAILY,357,0.02 - 0.02,E06SCT_L4_BT_NP,E06SCTL,L4,C,2023-02-09,.jpg,
Active,0,EOS-06 Scatterometer high resolution land product over South Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm,2025-06-30,DAILY,361,0.02 - 0.02,E06SCT_L4_BT_SP,E06SCTL,L4,C,2023-02-09,.jpg,
Active,0,"EOS-06 Scatterometer high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm for HHASC, HHDES, HHBTH, VVASC, VVDES, VVBTH",2025-06-30,DAILY,352,0.02 - 0.02,E06SCT_L4_GAM_IND,E06SCTL,L4,C,2023-02-09,.jpg,
Active,0,EOS-06 Scatterometer high resolution land product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm,2025-06-30,DAILY,358,0.02 - 0.02,E06SCT_L4_GAM_NP,E06SCTL,L4,C,2023-02-09,.jpg,
Active,0,EOS-06 Scatterometer high resolution land product over South Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm,2025-06-30,DAILY,360,0.02 - 0.02,E06SCT_L4_GAM_SP,E06SCTL,L4,C,2023-02-09,.jpg,
Active,0,EOS-06 Scatterometer high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm,2025-06-30,DAILY,354,0.02 - 0.02,E06SCT_L4_SIG_GLB,E06SCTL,L4,C,2023-02-09,.jpg,
