actv,crnt_flg,description,enddate,frequency,id,longres,name,prefix,processlevel,satinorbit,startdate,suffix,techdoc
In-Active,1,Level1 data for Imager 6 channels at half hour interval,2024-06-18,Half Hourly,116,4 - 4,3DIMG_L1B_STD,3DIMG,L1B,P,2013-10-01,"L1B_STD_IR1_V*.jpg,L1B_STD_IR1_TEMP_V*.jpg,L1B_STD_IR2_V*.jpg,L1B_STD_IR2_TEMP_V*.jpg,L1B_STD_MIR_V*.jpg,L1B_STD_MIR_TEMP_V*.jpg,L1B_STD_RGB_V*.jpg,L1B_STD_SWIR_V*.jpg,L1B_STD_VIS_V*.jpg,L1B_STD_WV_V*.jpg,L1B_STD_WV_TEMP_V*.jpg",10.19038/SAC/10/3DIMG_L1B_STD
In-Active,1,IMAGER- 6 channel Level1 data in Mercator projection for Asian Sector,2024-06-18,Half Hourly,123, - ,3DIMG_L1C_ASIA_MER,3DIMG,L1C,P,2013-10-01,"L1C_ASIA_MER_IR1_V*.jpg,L1C_ASIA_MER_IR2_V*.jpg,L1C_ASIA_MER_MIR_V*.jpg,L1C_ASIA_MER_RGB_V*.jpg,L1C_ASIA_MER_SWIR_V*.jpg,L1C_ASIA_MER_VIS_V*.jpg,L1C_ASIA_MER_WV_V*.jpg",10.19038/SAC/10/3DIMG_L1C_ASIA_MER
In-Active,1,"Level1 IMAGER 6 channel  data of TIR1, TIR2, WV, VIS, SWIR, MIR Bands in Mercator projection",2024-06-18,Half Hourly,117,4 - 4,3DIMG_L1C_SGP,3DIMG,L1C,P,2013-10-01,"L1C_SGP_IR1_V*.jpg,L1C_SGP_IR2_V*.jpg,L1C_SGP_MIR_V*.jpg,L1C_SGP_RGB_V*.jpg,L1C_SGP_SWIR_V*.jpg,L1C_SGP_VIS_V*.jpg,L1C_SGP_WV_V*.jpg",10.19038/SAC/10/3DIMG_L1C_SGP
In-Active,1,"INSAT-3D VHRR measures radiances in one visible and one SWIR band at 1 km spatial resolution, one MIR and two TIR bands at 4 km resolution, and one WV band at 8 km resolution. Radiances from 3 IR spectral bands TIR-1 , TIR-2 and MIR which are of same resolution of 4km are used in the INSAT cloud mask algorithm to estimate whether a given view of the earth surface is unobstructed by clouds",2024-06-18,Half Hourly,126,Pixel - Pixel,3DIMG_L2B_CMK,3DIMG,L2B,P,2013-10-08,L2B_CMK_V*.jpg,10.19038/SAC/10/3DIMG_L2B_CMK
In-Active,1,Cloud top properties derived using INSAT3D IMAGER,2024-06-18,half hourly,314, - ,3DIMG_L2B_CTP,3DIMG,L2B,P,2018-11-30,"L2B_CTP_V*.jpg,L2B_CTT_V*.jpg",10.19038/SAC/10/3DIMG_L2B_CTP
In-Active,1,FOG,2013-11-15,Half Hourly,124, - ,3DIMG_L2B_FOG,,L2B,P,2013-09-22,,10.19038/SAC/10/3DIMG_L2B_FOG
In-Active,1,This product is derived on the basis of Hydro-Estimator method. It measures precipitation over Indian Region encompassing area between longitudes 30°E -to130°E and latitudes 50°N- 50°S.,2024-06-18,HALF HOURLY,140, - ,3DIMG_L2B_HEM,3DIMG,L2B,P,2013-10-08,L2B_HEM_V*.jpg,10.19038/SAC/10/3DIMG_L2B_HEM
In-Active,1,"INSAT multispectral Rainfall Algorithm Technique (IMSRA) is one of the main operational rainfall retrieval algorithms for INSAT-3D. This algorithm estimates precipitation based on non-linear power law relationship established between infrared (IR) brightness temperatures (Tbs, 10.7 µm observations) and TRMM-PR surface rain rate.  Based on a number of case studies and research works carried out, a further refinement of the algorithm was made. ",2024-06-18,HALF HOURLY,155,pixel - pixel,3DIMG_L2B_IMC,3DIMG,L2B,P,2016-01-01,L2B_IMC_V*.jpg,10.19038/SAC/10/3DIMG_L2B_IMC
In-Active,1,"Land surface temperature (LST) is a key parameter in the land surface processes. LST is very useful input to various models related to agrometeorology, ecology, hydrology and climate.",2024-06-18,half hourly,149,Pixel - Pixel,3DIMG_L2B_LST,3DIMG,L2B,P,2015-03-04,L2B_LST_V*.jpg,10.19038/SAC/10/3DIMG_L2B_LST
In-Active,1,"Total outgoing longwave radiation (OLR) flux, thermally emitted from earth atmosphere system, is estimated by applying regression equation relating OLR flux with INSAT-3D Imager observed WV (6.7&#956;m) and thermal infrared (TIR-1 10.5 &#956;m and TIR-2 11.5 &#956;m) radiances. The coefficients of the regression equations are determined from results of the Radiative Transfer Model simulation with various atmospheric conditions",2024-06-18,Half Hourly,122, - ,3DIMG_L2B_OLR,3DIMG,L2B,P,2013-10-01,L2B_OLR_V*.jpg,10.19038/SAC/10/3DIMG_L2B_OLR
