actv,crnt_flg,description,enddate,frequency,id,longres,name,prefix,processlevel,satinorbit,startdate,suffix,techdoc
Active,0,Level1 data for Imager 6 channels at half hour interval,2025-07-02,Half Hourly,370,4 - 4,3SIMG_L1B_STD,3SIMG,L1B,C,2024-05-17,"L1B_STD_IR1_V*.jpg,L1B_STD_IR1_TEMP_V*.jpg,L1B_STD_IR2_V*.jpg,L1B_STD_IR2_TEMP_V*.jpg,L1B_STD_MIR_V*.jpg,L1B_STD_MIR_TEMP_V*.jpg,L1B_STD_RGB_V*.jpg,L1B_STD_SWIR_V*.jpg,L1B_STD_VIS_V*.jpg,L1B_STD_WV_V*.jpg,L1B_STD_WV_TEMP_V*.jpg",
Active,0,IMAGER- 6 channel Level1 data in Mercator projection for Asian Sector,2025-07-02,Half Hourly,373, - ,3SIMG_L1C_ASIA_MER,3SIMG,L1C,C,2024-05-17,"L1C_ASIA_MER_IR1_V*.jpg,L1C_ASIA_MER_IR2_V*.jpg,L1C_ASIA_MER_MIR_V*.jpg,L1C_ASIA_MER_RGB_V*.jpg,L1C_ASIA_MER_SWIR_V*.jpg,L1C_ASIA_MER_VIS_V*.jpg,L1C_ASIA_MER_WV_V*.jpg",
Active,0,"Level1 IMAGER 6 channel  data of TIR1, TIR2, WV, VIS, SWIR, MIR Bands in Mercator projection",2025-07-02,Half Hourly,372,4 - 4,3SIMG_L1C_SGP,3SIMG,L1C,C,2024-05-17,"L1C_SGP_IR1_V*.jpg,L1C_SGP_IR2_V*.jpg,L1C_SGP_MIR_V*.jpg,L1C_SGP_RGB_V*.jpg,L1C_SGP_SWIR_V*.jpg,L1C_SGP_VIS_V*.jpg,L1C_SGP_WV_V*.jpg",
Active,0,"INSAT-3S VHRR measures radiances in one visible and one SWIR band at 1 km spatial resolution, one MIR and two TIR bands at 4 km resolution, and one WV band at 8 km resolution. Radiances from 3 IR spectral bands TIR-1 , TIR-2 and MIR which are of same resolution of 4km are used in the INSAT cloud mask algorithm to estimate whether a given view of the earth surface is unobstructed by clouds",2025-07-02,Half Hourly,374,Pixel - Pixel,3SIMG_L2B_CMK,3SIMG,L2B,C,2024-06-11,L2B_CMK_V*.jpg,
Active,0,Cloud top properties derived using INSAT3S IMAGER,2025-07-02,half hourly,375,per pixel - per pixel,3SIMG_L2B_CTP,3SIMG,L2B,C,2024-07-13,"L2B_CTP_V*.jpg,L2B_CTT_V*.jpg",
Active,0,This product is derived on the basis of Hydro-Estimator method. It measures precipitation over Indian Region encompassing area between longitudes 30ÃÂÃÂ°E -to130ÃÂÃÂ°E and latitudes 50ÃÂÃÂ°N- 50ÃÂÃÂ°S.,2025-07-02,HALF HOURLY,376, - ,3SIMG_L2B_HEM,3SIMG,L2B,C,2024-05-17,L2B_HEM_V*.jpg,
Active,0,"INSAT multispectral Rainfall Algorithm Technique (IMSRA) is one of the main operational rainfall retrieval algorithms for INSAT-3S. This algorithm estimates precipitation based on non-linear power law relationship established between infrared (IR) brightness temperatures (Tbs, 10.7 ÃÂÃÂµm observations) and TRMM-PR surface rain rate.  Based on a number of case studies and research works carried out, a further refinement of the algorithm was made. ",2025-07-02,HALF HOURLY,377,pixel - pixel,3SIMG_L2B_IMC,3SIMG,L2B,C,2024-05-17,L2B_IMC_V*.jpg,
Active,0,"Land surface temperature (LST) is a key parameter in the land surface processes. LST is very useful input to various models related to agrometeorology, ecology, hydrology and climate.",2025-07-02,half hourly,378,Pixel - Pixel,3SIMG_L2B_LST,3SIMG,L2B,C,2024-06-11,L2B_LST_V*.jpg,
Active,0,"Total outgoing longwave radiation (OLR) flux, thermally emitted from earth atmosphere system, is estimated by applying regression equation relating OLR flux with INSAT-3S Imager observed WV (6.7&#956;m) and thermal infrared (TIR-1 10.5 &#956;m and TIR-2 11.5 &#956;m) radiances. The coefficients of the regression equations are determined from results of the Radiative Transfer Model simulation with various atmospheric conditions",2025-07-02,Half Hourly,379, - ,3SIMG_L2B_OLR,3SIMG,L2B,C,2024-05-17,L2B_OLR_V*.jpg,
Active,0,"Sea surface temperature is derived from split thermal window channels (TIR1, TIR2) during daytime and using additional mid IR window channel (MIR) during night time over cloud free oceanic regions. The most important part of the SST retrieval from IR observations is the atmospheric correction, especially over tropics. This correction is determined through a suitable characterization of tropical atmospheres in radiative transfer model to simulate the brightness temperatures of INSAT-3S channels a",2025-07-02,HALF HOURLY,380,Pixel - Pixel,3SIMG_L2B_SST,3SIMG,L2B,C,2024-05-17,L2B_SST_V*.jpg,
