actv,crnt_flg,description,enddate,frequency,id,longres,name,prefix,processlevel,satinorbit,startdate,suffix,techdoc
In-Active,1,Cloud Motion Vector and Water Vapour Winds derived from Kalpana IR and WV channel data,2012-08-06,Half Hourly,23,20 Pixel - 20 Pixel,K1-VHR-AMV,K1VHR,2,P,2009-11-03,AMV.gif,10.19038/SAC/10/K1-VHR-AMV
In-Active,1,Atmospheric Motion Vectors derived using Visible Water vapour and IR bands of Kalpana 1 VHRR data,2017-09-16,Half Hourly,105,Pixel - Pixel,K1-VHR-AMV-VIS,K1VHR,2,P,2013-02-21,"SGP_HIG.gif,SGP_LOW.gif",10.19038/SAC/10/K1-VHR-AMV-VIS
In-Active,1,Kalpana IR Brightness  Temperature,2017-09-19,Half Hourly,25,Pixel - Pixel,K1-VHR-BRT,K1VHR,2,P,2009-11-03,"BRT.gif,GBRT.gif,SBRT.gif,CONTOUR_BRT.gif,CONTOUR_GBRT.gif,CONTOUR_SBRT.gif",10.19038/SAC/10/K1-VHR-BRT
In-Active,1,Kalpana WV Brightness Temperature,2017-09-19,Half Hourly,22,Pixel - Pixel,K1-VHR-BTW,K1VHR,2,P,2009-11-03,"BTW.gif,CONTOUR_BTW.gif",10.19038/SAC/10/K1-VHR-BTW
In-Active,1,Cloud mask derived using Kalpana-1 IR channel data at every Pixel resolution,2011-01-04,Half Hourly,30,Pixel - Pixel,K1-VHR-CMK,K1VHR,2,P,2010-05-04,CMK.gif,10.19038/SAC/10/K1-VHR-CMK
In-Active,1,Cloud Motion Vector derived from Kalpana IR channel data,2010-09-08,Half Hourly,7,20 Pixel - 20 Pixel,K1-VHR-CMV,K1VHR,2,P,2008-06-01,CMV.gif,10.19038/SAC/10/K1-VHR-CMV
In-Active,1,INSAT Multi Chanel Rain; Rainfall estimate derived using Indian Multi-Spectral Rainfall algorithm (IMSRA),2014-04-15,Daily,271,Pixel - Pixel,K1-VHR-DAILYIMR,K1VHR,3,P,2010-06-15,DAILY_IMR.gif,10.19038/SAC/10/K1-VHR-DAILYIMR
In-Active,1,Kalpana derived daily insulation product,2017-09-10,Daily,37, - ,K1-VHR-DAILYINS,K1VHR,0,P,2011-07-17,DAILY_INS.jpg,10.19038/SAC/10/K1-VHR-DAILYINS
In-Active,1,Daily (averaged over previous 24 hr) Outgoing Longwave Radiation derieved from Kalpana - both IR and WV Channel data,2017-09-19,Daily,1,Pixel - Pixel,K1-VHR-DAILYOLR,K1VHR,2,P,2008-06-01,DAILY_OLR.gif,10.19038/SAC/10/K1-VHR-DAILYOLR
In-Active,1,Daily Accumulated Quantitative Precipitation Estimates based on GPI Algoritham derived using Kalpana IR channel data,2014-04-15,Daily,24,1deg - 1deg,K1-VHR-DAILYQPE,K1VHR,2,P,2008-06-01,DAILY_QPE.gif,10.19038/SAC/10/K1-VHR-DAILYQPE
