actv,crnt_flg,description,enddate,frequency,id,longres,name,prefix,processlevel,satinorbit,startdate,suffix,techdoc
In-Active,1,Fully validated offline Native product,2019-10-07,35 days-cycle,109, - ,SRLGPN,SRL_GPN_2PTP,L2,C,2013-05-23,"mean_sea_surface.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLGPN
Active,0,Fully validated offline Native product,2024-03-04,35 days-cycle,328, - ,SRLGPN_F,SRL_GPN_2PTP,L2,C,2019-06-24,"mean_sea_surface_sol1.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLGPN
In-Active,1,Fully validated offline Reduced product,2018-10-22,35 days-cycle,110, - ,SRLGPR,SRL_GPR_2PTP,L2,C,2013-05-23,"mean_sea_surface.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLGPR
Active,0,Fully validated offline Reduced product,2024-04-08,35 days-cycle,327, - ,SRLGPR_F,SRL_GPR_2PTP,L2,C,2018-08-13,"mean_sea_surface_sol1.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLGPR
In-Active,1,Fully validated offline Sensor product,2019-06-24,35 days-cycle,111, - ,SRLGPS,SRL_GPS_2PTP,L2,C,2013-05-23,"mean_sea_surface.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLGPS
Active,0,Fully validated offline Sensor product,2024-03-04,35 days-cycle,326, - ,SRLGPS_F,SRL_GPS_2PTP,L2,C,2013-03-14,"mean_sea_surface_sol1.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLGPS
In-Active,1,"Interim Geo physical data record, Native product",2020-03-07,3 days,112, - ,SRLIPN,SRL_IPN_2PTP,L2,C,2013-03-12,"mean_sea_surface.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLIPN
Active,0,"Interim Geo physical data record, Native product",2025-06-30,3 days,325, - ,SRLIPN_F,SRL_IPN_2PTP,L2,C,2020-02-08,"mean_sea_surface_sol1.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLIPN
In-Active,1,"Interim Geo physical data record, Reduced product",2020-03-06,3 days,113, - ,SRLIPR,SRL_IPR_2PTP,L2,C,2013-03-12,"mean_sea_surface.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLIPR
Active,0,"Interim Geo physical data record, Reduced product",2025-06-30,3 days,324, - ,SRLIPR_F,SRL_IPR_2PTP,L2,C,2020-02-06,"mean_sea_surface_sol1.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLIPR
In-Active,1,"Interim Geo physical data record, Sensor product",2020-01-19,3 days,114, - ,SRLIPS,SRL_IPS_2PTP,L2,C,2013-03-12,"mean_sea_surface.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLIPS
Active,0,"Interim Geo physical data record, Sensor product",2025-06-30,3 days,323, - ,SRLIPS_F,SRL_IPS_2PTP,L2,C,2020-06-14,"mean_sea_surface_sol1.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLIPS
In-Active,1,Near Real Time- Native product generated after every 100 minutes,2020-03-08,100 minutes,108,8 km - 8 km,SRLOPN,SRL_OPN_2PTP,L2,C,2013-03-19,"mean_sea_surface.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLOPN
Active,0,Near Real Time- Native product generated after every 100 minutes,2025-07-02,100 minutes,329,8 km - 8 km,SRLOPN_F,SRL_OPN_2PTP,L2,C,2020-02-26,"mean_sea_surface_sol1.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLOPN
In-Active,1,Near Real Time- Reduced level2 product generated after every 100 minutes,2020-03-08,100 minutes,107,8 km - 8 km,SRLOPR,SRL_OPR_2PTP,L2,C,2013-03-19,"mean_sea_surface.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLOPR
Active,0,Near Real Time- Reduced level2 product generated after every 100 minutes,2025-07-02,100 minutes,330,8 km - 8 km,SRLOPR_F,SRL_OPR_2PTP,L2,C,2020-02-26,"mean_sea_surface_sol1.jpeg,mean_topography.jpeg,rad_liquid_water.jpeg,rad_water_vapor.jpeg,sig0.jpeg,ssha.jpeg,swh.jpeg,wind_speed_alt.jpeg",10.19038/SAC/10/SRLOPR
